NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-10-15;2021-10-21;Si;;;25.1892;8.3964;6;4823.7450;2913;534;0.1610;13;0;4;4;2;2;2;2101;384;30;46
CATALUNYA;GLOBAL;2021-10-14;2021-10-20;--;;;0.0000;0.0000;94;0.0000;9187;16;0.6338;36;4;0;67;27;58;0;9138;13;437;366
CATALUNYA;GLOBAL;2021-10-14;2021-10-20;Si;;;23.7898;6.9970;5;5008.4663;3023;556;0.1171;13;0;5;4;1;2;1;2171;392;33;53
CATALUNYA;GLOBAL;2021-10-14;2021-10-20;No;53.5214;1.19115;44.9326;24.7680;1910;1766.6746;84007;52231;1.7217;225;36;13;951;959;1026;943;69570;44796;18883;22587
CATALUNYA;GLOBAL;2021-10-13;2021-10-19;No;51.9722;1.17671;44.1675;24.3012;1874;1858.5887;88484;54842;1.6151;211;39;14;909;965;987;954;73089;47090;19352;24757
CATALUNYA;GLOBAL;2021-10-13;2021-10-19;--;;;0.0000;0.0000;84;0.0000;9142;16;0.5715;43;17;0;59;25;52;0;9086;13;472;423
CATALUNYA;GLOBAL;2021-10-13;2021-10-19;Si;;;22.3904;11.1952;8;5305.1400;3180;611;0.3686;16;1;4;4;4;6;4;2273;440;48;54
CATALUNYA;GLOBAL;2021-10-12;2021-10-18;--;;;0.0000;0.0000;87;0.0000;8795;18;0.6054;40;17;0;59;28;53;0;8739;15;425;380
CATALUNYA;GLOBAL;2021-10-12;2021-10-18;Si;;;23.7898;12.5946;9;4576.0506;2695;575;0.4657;14;1;4;5;4;7;4;1952;410;34;47
CATALUNYA;GLOBAL;2021-10-12;2021-10-18;No;50.0022;1.13244;44.1545;22.4598;1732;1663.7511;79707;48594;1.6160;200;37;13;843;889;865;873;65865;41685;17227;22543
CATALUNYA;GLOBAL;2021-10-11;2021-10-17;No;48.9417;1.10098;44.4528;21.9281;1691;1632.2399;79498;46373;1.6432;193;31;14;849;842;896;834;65527;39758;17508;22427
CATALUNYA;GLOBAL;2021-10-11;2021-10-17;--;;;0.0000;0.0000;91;0.0000;8591;20;0.6667;42;17;0;64;27;56;1;8533;16;402;386
CATALUNYA;GLOBAL;2021-10-11;2021-10-17;Si;;;36.3845;13.9940;10;4587.2458;2714;564;0.5157;15;2;4;6;4;8;4;1930;397;37;47
CATALUNYA;GLOBAL;2021-10-10;2021-10-16;No;46.96;1.04542;44.9196;21.7206;1675;1623.3831;78944;46244;1.6273;188;31;12;848;827;890;813;65022;39627;17546;22592
CATALUNYA;GLOBAL;2021-10-10;2021-10-16;--;;;0.0000;0.0000;83;0.0000;8709;21;0.5999;45;18;0;59;24;51;1;8651;17;402;387
CATALUNYA;GLOBAL;2021-10-10;2021-10-16;Si;;;36.3845;12.5946;9;4529.8702;2667;570;0.4803;19;2;3;5;4;7;4;1894;396;36;47
CATALUNYA;GLOBAL;2021-10-09;2021-10-15;--;;;0.0000;0.0000;85;0.0000;8736;20;0.6098;41;18;0;61;24;52;1;8674;17;399;404
CATALUNYA;GLOBAL;2021-10-09;2021-10-15;Si;;;34.9850;13.9940;10;4363.3412;2643;475;0.5450;18;2;3;4;6;6;6;1870;332;37;46
CATALUNYA;GLOBAL;2021-10-09;2021-10-15;No;44.1299;0.981004;44.9844;21.4872;1657;1609.4170;77587;46524;1.6281;174;26;11;838;819;877;811;63782;39897;17430;23054
CATALUNYA;GLOBAL;2021-10-08;2021-10-14;No;40.3917;0.88995;45.3864;20.9037;1612;1574.5991;74601;46825;1.5907;177;29;11;840;772;850;764;61286;40177;17690;26077
CATALUNYA;GLOBAL;2021-10-08;2021-10-14;--;;;0.0000;0.0000;82;0.0000;8757;23;0.6307;40;19;0;61;21;54;1;8699;21;406;441
CATALUNYA;GLOBAL;2021-10-08;2021-10-14;Si;;;39.1833;16.7928;12;4464.0982;2721;469;0.6349;16;2;3;7;5;9;5;1882;323;39;41
CATALUNYA;GLOBAL;2021-10-07;2021-10-13;--;;;0.0000;0.0000;71;0.0000;8852;30;0.5669;42;18;0;53;18;49;1;8792;28;383;431
CATALUNYA;GLOBAL;2021-10-07;2021-10-13;Si;;;41.9821;16.7928;12;4424.9149;2690;472;0.6425;18;2;2;7;5;9;5;1848;331;42;49
CATALUNYA;GLOBAL;2021-10-07;2021-10-13;No;39.702;0.855207;46.4238;20.1645;1555;1520.2002;70992;46239;1.6034;179;27;13;801;754;828;749;58515;39838;17856;27336
CATALUNYA;GLOBAL;2021-10-06;2021-10-12;No;39.8884;0.836556;47.6817;19.8663;1532;1461.4571;69465;43236;1.6366;178;22;12;834;698;860;688;57330;37257;17647;27643
CATALUNYA;GLOBAL;2021-10-06;2021-10-12;--;;;0.0000;0.0000;67;0.0000;9168;30;0.5255;40;6;0;53;14;47;1;9105;29;385;402
CATALUNYA;GLOBAL;2021-10-06;2021-10-12;Si;;;39.1833;11.1952;8;4290.5722;2619;447;0.3772;18;1;3;5;3;5;3;1818;303;34;54
CATALUNYA;GLOBAL;2021-10-05;2021-10-11;Si;;;44.7809;11.1952;8;4923.1027;3019;499;0.3253;22;1;4;5;3;5;3;2106;353;46;65
CATALUNYA;GLOBAL;2021-10-05;2021-10-11;No;42.8257;0.833971;51.3515;21.6947;1673;1672.4393;78972;49999;1.6115;195;21;12;928;745;998;748;65187;43161;20190;32016
CATALUNYA;GLOBAL;2021-10-05;2021-10-11;--;;;0.0000;0.0000;68;0.0000;9589;35;0.5546;43;4;0;57;11;51;2;9524;32;443;468
CATALUNYA;GLOBAL;2021-10-04;2021-10-10;--;;;0.0000;0.0000;60;0.0000;9521;34;0.4744;41;4;0;47;13;44;1;9455;31;441;481
